~게 되다 [ge doeda] (End up doing) |  | TOPIK I Level 2
~을/를 통해 [eul/reul tonghae] (Through, via) |  | TOPIK I Level 2
~을까 [eulkka] (Shall we?) |  | TOPIK I Level 2
~을래 [eullae] (Want to) |  | TOPIK I Level 2
~을지라도 [euljirado] (Even if) |  | TOPIK I Level 2
~을지언정 [euljieonjeong] (Whether... or...) |  | TOPIK I Level 2
~이 되다 [i doeda] (Become) |  | TOPIK I Level 2
~이나 ~ [ina] (Either, or) |  | TOPIK I Level 2
~이라도 [irado] (At least) |  | TOPIK I Level 2
~이랑 [irang] (And, with) |  | TOPIK I Level 2
~이래 [irae] (Since) |  | TOPIK I Level 2
~이므로 [imyeo] (Because, so) |  | TOPIK I Level 2
~이어서 [ieoseo] (And then, so) |  | TOPIK I Level 2
~이지만 [ijiman] (But, however) |  | TOPIK I Level 2
~인/는데 [in/neunde] (But, so) |  | TOPIK I Level 2
~자 [ja] (Let’s) |  | TOPIK I Level 2
~자마자 [jamaja] (As soon as) |  | TOPIK I Level 2
~처럼 [cheoreom] (Like, as) |  | TOPIK I Level 2
~쯤 [jjeum] (Around, about) |  | TOPIK I Level 2
~지 않다 [ji anta] (Not) |  | TOPIK I Level 2
~지만 [jiman] (But) |  | TOPIK I Level 2
~지요/~죠 [jiyo/jyo] (Isn’t it?, right?) |  | TOPIK I Level 2
~하고 [hago] (And, with) |  | TOPIK I Level 2
~하기로 [hagiro] (Decide to) |  | TOPIK I Level 2
~하기는 [hagineun] (But) |  | TOPIK I Level 2
~하기보다 [hagiboda] (Rather than) |  | TOPIK I Level 2
~하나 [hana] (Questioning oneself) |  | TOPIK I Level 2
~하다가 [hadaga] (Doing and then) |  | TOPIK I Level 2
~하다가 말다 [hadaga malda] (Stop doing something) |  | TOPIK I Level 2
~하더라 [hadeora] (I observed, I remember) |  | TOPIK I Level 2
~하려고 [haryeogo] (In order to) |  | TOPIK I Level 2
~하여/해서 [hayeo/haeseo] (So, therefore) |  | TOPIK I Level 2
~한테/한테서 [hante/hanteseo] (To/From someone) |  | TOPIK I Level 2
~할 거예요 [hal geoyeyo] (Going to do) |  | TOPIK I Level 2
~할 만하다 [hal manhada] (Worth doing) |  | TOPIK I Level 2
~할 수록 [hal surok] (The more...) |  | TOPIK I Level 2
~할 줄 알다 [hal jul alda] (Know how to) |  | TOPIK I Level 2
~할지라도 [haljirado] (Even if) |  | TOPIK I Level 2
~할 텐데 [hal tende] (I thought/would have thought that..) |  | TOPIK I Level 2
~해야지 [haeyaji] (Decide to) |  | TOPIK I Level 2
~해도/해봐도 [haedo/haebwado] (Even if) |  | TOPIK I Level 2
~해보다 [haeboda] (Try to) |  | TOPIK I Level 2
~해주다 [haejuda] (Do for someone) |  | TOPIK I Level 2
~했더니 [haetdeoni] (When, and then) |  | TOPIK I Level 2
~했었다 [haesseotda] (Had done) |  | TOPIK I Level 2
~했으면 [haesseumyeon] (If it were) |  | TOPIK I Level 2
~했을 때 [haesseul ttae] (When someone did) |  | TOPIK I Level 2
~했을 텐데 [haesseul tende] (I think I did) |  | TOPIK I Level 2
~했지만 [haetjiman] (But, however) |  | TOPIK I Level 2
~혀/어/여 [hyeo/eo/yeo] (Because, so) |  | TOPIK I Level 2
~혀/어/여야 [hyeo/eo/yeoya] (Have to) |  | TOPIK I Level 2
~후에 [hue] (After) |  | TOPIK I Level 2
~(으)나 [(eu)na] (But, however) |  | TOPIK I Level 2
~(으)ㄹ까요? [(eu)lkka yo?] (Shall we?) |  | TOPIK I Level 2
~(으)ㄹ래요 [(eu)llae yo] (I will) |  | TOPIK I Level 2
~(으)면서 [(eu)myeonseo] (While) |  | TOPIK I Level 2
~(으)로 [(eu)ro] (Towards, by means of) |  | TOPIK I Level 2
~(으)로서 [(eu)roseo] (As) |  | TOPIK I Level 2
~(으)로써 [(eu)rosseo] (By, as) |  | TOPIK I Level 2
~(으)려고 하다 [(eu)ryeogo hada] (To try to) |  | TOPIK I Level 2
~(으)리라 [(eu)rira] (Probably) |  | TOPIK I Level 2
~(으)실 거예요 [(eu)sil geoyeyo] (You will probably) |  | TOPIK I Level 2
~(으)면 좋겠다 [(eu)myeon jokgetda] (It would be good if) |  | TOPIK I Level 2
~(으)면서도 [(eu)myeonseodo] (While, although) |  | TOPIK I Level 2
~(으)니까 [(eu)nikka] (Because, since) |  | TOPIK I Level 2
~(으)다 보니 [(eu)da boni] (Seeing that, as) |  | TOPIK I Level 2
~(으)다가 [(eu)daga] (And then, but) |  | TOPIK I Level 2
~(으)던 [(eu)deon] (Who used to) |  | TOPIK I Level 2
~(으)려면 [(eu)ryeomyeon] (In order to) |  | TOPIK I Level 2
~(으)ㄹ 수록 [(eu)l surok] (The more) |  | TOPIK I Level 2
~(으)ㄴ/는 중 [(eu)n/neun jung] (In the middle of) |  | TOPIK I Level 2
~(으)ㄴ/는 탓에 [(eu)n/neun tase] (Because of) |  | TOPIK I Level 2
~(으)ㄴ/는데다가 [(eu)n/neundedaga] (Moreover, additionally) |  | TOPIK I Level 2
~(으)ㄴ/는데도 불구하고 [(eu)n/neundedo bulguhago] (Despite, in spite of) |  | TOPIK I Level 2
~(으)ㄴ/는지 모르겠다 [(eu)n/neunji moreugessda] (I'm not sure if) |  | TOPIK I Level 2
~(으)려는 참이다 [(eu)ryeoneun chamida] (I really want to) |  | TOPIK I Level 2
~(으)ㄹ 것 같다 [(eu)l geot gatda] (It seems like) |  | TOPIK I Level 2
~(으)ㄹ 것이다 [(eu)l geosida] (Will likely) |  | TOPIK I Level 2
~(으)ㄹ 뿐만 아니라 [(eu)l ppunman anira] (Not only, but also) |  | TOPIK I Level 2
~(으)ㄹ 뿐이다 [(eu)l ppunida] (Only, just) |  | TOPIK I Level 2
~(으)ㄹ게요 [(eu)lgeyo] (I will, in the future) |  | TOPIK I Level 2
~(으)ㄹ게 [(eu)lge] (I will, in the future) |  | TOPIK I Level 2
~(으)ㄹ래 [(eu)llae] (I want to) |  | TOPIK I Level 2
~(으)ㄹ라고 [(eu)llago] (Intend to) |  | TOPIK I Level 2
~(으)ㄹ 테니까 [(eu)l tenikka] (Since I assume) |  | TOPIK I Level 2
~(으)ㄹ지라도 [(eu)ljirado] (Even if) |  | TOPIK I Level 2
~(으)면서도 [(eu)myeonseodo] (While, although) |  | TOPIK I Level 2
~(으)시면 [(eu)simyeon] (If you) |  | TOPIK I Level 2
~(으)시겠어요 [(eu)sigesseoyo] (You will probably) |  | TOPIK I Level 2
~(으)시다 [(eu)sida] (Let's) |  | TOPIK I Level 2
~(으)십시오 [(eu)sipsio] (Please) |  | TOPIK I Level 2
